L 1,L 2,Alappuzha,Ernakulam,Idukki,Kannur,Kasaragod,Kollam,Kottayam,Kozhikode,Malappuram,Palakkad,Pattanamtitta,Thiruvananthapuram,Thrissur,Wayanad,Grand Total
Agriculture,Crop land,252.22,179.25,36.60,48.63,53.82,96.69,217.36,106.85,243.79,748.52,94.55,41.40,363.92,210.11,2693.72
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,
Agriculture,Fallow,5.39,9.26,1.61,21.28,1.86,3.70,23.47,6.11,,2.37,1.04,0.06,0.63,0.77,77.55
Agriculture,Plantation,681.13,1334.14,1476.71,1934.10,1295.18,1211.81,1460.41,1383.52,2024.07,1759.04,896.67,1419.80,1293.98,843.49,19014.06
Barren/unculturable/ Wastelands,Barren Rocky,,4.13,115.31,6.80,7.54,0.86,0.60,4.24,14.05,85.06,3.29,8.22,4.85,3.11,258.06
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,0.63,0.00,0.00,0.08,0.06,0.17,0.00,0.03,0.67,0.44,0.00,4.19,0.02,0.00,6.31
Barren/unculturable/ Wastelands,Scrub Land,0.83,30.10,282.63,142.07,268.78,28.50,150.18,33.44,105.95,160.16,103.20,14.53,36.74,28.05,1385.17
Builtup,Mining,,3.94,0.35,14.46,3.39,2.00,1.56,2.46,12.49,2.33,1.71,2.37,6.00,0.59,53.65
Builtup,Rural,77.26,234.72,135.70,277.30,78.91,155.69,234.08,294.09,186.21,106.05,183.02,112.64,235.22,102.56,2413.46
Builtup,Urban,23.89,162.25,8.31,36.15,24.34,48.49,15.44,8.74,21.65,38.58,20.96,83.37,43.51,2.72,538.40
Forest,Deciduous,,28.30,158.16,25.69,103.25,55.74,0.24,306.62,62.98,247.53,202.91,1.79,334.34,83.18,1610.70
Forest,Evergreen/Semi evergreen,,81.84,1682.30,293.31,72.34,165.67,44.39,101.60,515.34,837.52,942.37,305.11,441.97,570.48,6054.25
Forest,Forest Plantation,,110.82,603.36,100.56,6.32,571.26,1.77,9.66,191.99,90.78,81.50,14.99,149.69,205.06,2137.76
Forest,Scrub Forest,,21.23,225.49,8.31,3.31,109.49,0.21,17.97,72.49,184.50,49.37,141.43,14.46,48.78,897.05
Forest,Swamp / Mangroves,,0.24,,,,,,,,,,,,,0.24
Grass / Grazing,Grass / Grazing,,,144.31,13.07,0.03,,2.96,0.51,2.58,9.96,15.06,0.31,2.25,8.32,199.36
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,1.28,78.55,,0.28,,0.12,,0.26,2.01,,,,3.93,,86.41
Wet lands / Water bodies,Inland Wetland,146.40,11.26,0.00,1.37,0.00,9.38,16.60,12.08,21.95,3.95,9.60,0.02,24.89,0.05,257.55
Wet lands / Water bodies,River/Stream/Canals,36.28,55.70,35.56,68.06,41.49,21.56,32.04,43.13,69.64,55.76,22.37,19.59,43.91,11.00,556.07
Wet lands / Water bodies,Water bodies,188.69,62.30,112.60,5.47,0.37,101.88,2.68,13.67,0.14,59.42,14.38,16.19,31.71,13.72,623.22
