L 1,L 2,Dhalai,North Tripura,South Tripura,West Tripura,Grand Total
Agriculture,Crop land,172.75,240.68,424.80,551.89,1390.11
Agriculture,Plantation,63.86,60.50,315.69,316.49,756.54
Agriculture,Fallow,0.38,2.17,9.26,5.89,17.69
Agriculture,Current Shifting cultivation,29.48,6.67,30.19,14.58,80.92
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,0.08,,0.08
Barren/unculturable/ Wastelands,Scrub Land,56.99,90.50,143.21,276.08,566.78
Barren/unculturable/ Wastelands,Sandy Area,1.54,1.45,0.61,1.07,4.67
Barren/unculturable/ Wastelands,Barren Rocky,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,
Builtup,Urban,19.07,51.42,56.40,205.98,332.86
Builtup,Rural,74.81,160.05,91.30,143.16,469.32
Builtup,Mining,0.09,1.62,0.97,2.28,4.96
Forest,Evergreen/Semi evergreen,1372.94,1004.00,939.77,662.88,3979.59
Forest,Deciduous,303.89,314.54,674.21,662.99,1955.64
Forest,Forest Plantation,65.14,8.60,158.95,78.22,310.90
Forest,Scrub Forest,118.25,157.03,116.13,109.83,501.24
Forest,Swamp / Mangroves,,,,,
Grass / Grazing,Grass / Grazing,,,,,
Snow and Glacier,Snow and Glacier,,,,,
Wet lands / Water bodies,Inland Wetland,0.69,0.83,3.28,2.39,7.18
Wet lands / Water bodies,Coastal Wetland,,,,,
Wet lands / Water bodies,River/Stream/Canals,12.61,12.19,14.81,11.94,51.55
Wet lands / Water bodies,Water bodies,17.52,0.76,33.34,4.35,55.97
