L 1,L 2,Anantnag (Kashmir South),Bagdam,Baramula (Kashmir North),Doda,Jammu,Kargil,Kathua,Kupwara (Muzaffarabad),Ladakh (Leh),POK,Pulwama,Punch,Rajauri,Srinagar,Udhampur,Grand Total
Agriculture,Crop land,453.79,464.57,524.34,557.81,1349.65,88.12,906.00,402.13,168.43,3124.41,542.14,301.52,589.68,84.91,1224.67,10782.16
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,
Agriculture,Fallow,3.20,1.72,0.24,13.32,95.17,,23.25,0.19,0.08,2.54,3.57,0.02,,,5.56,148.86
Agriculture,Plantation,269.14,482.67,434.64,118.70,60.77,16.89,53.11,101.71,38.02,15.39,344.08,35.81,52.84,41.53,40.48,2105.78
Barren/unculturable/ Wastelands,Barren Rocky,370.36,21.80,326.70,1807.06,38.01,10860.23,24.80,152.61,33854.13,45212.31,100.74,104.01,66.24,109.57,131.94,93180.50
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,2.66,15.63,0.57,0.00,21.78,7.48,90.48,0.00,301.43,10.66,19.93,1.10,81.15,0.00,21.28,574.17
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,60.74,2.83,,,,,,63.57
Barren/unculturable/ Wastelands,Sandy Area,0.53,0.00,1.77,3.10,3.05,104.85,0.13,0.54,1360.50,318.70,0.00,0.77,0.00,1.89,3.30,1799.13
Barren/unculturable/ Wastelands,Scrub Land,375.55,24.90,161.06,1146.61,54.98,703.73,168.31,113.44,1381.59,2447.88,20.16,141.91,190.76,33.63,384.72,7349.22
Builtup,Mining,0.31,4.45,1.82,0.00,0.00,0.00,0.00,0.19,0.00,0.05,0.99,0.00,0.00,0.35,0.00,8.17
Builtup,Rural,29.09,41.40,63.61,7.92,57.38,4.42,23.62,21.49,0.80,54.49,38.33,3.22,7.33,7.80,6.64,367.54
Builtup,Urban,10.23,93.20,50.56,6.22,103.53,3.53,22.89,5.75,8.53,20.87,15.10,8.77,2.27,1.13,18.65,371.22
Forest,Deciduous,0.00,0.00,4.03,0.13,279.65,0.00,74.16,0.05,0.00,1799.27,0.00,36.92,183.57,2.04,180.57,2560.37
Forest,Evergreen/Semi evergreen,1110.13,116.27,936.51,3576.94,366.63,0.00,625.84,1022.14,0.00,2757.60,196.01,492.50,845.73,493.89,1683.25,14223.45
Forest,Forest Plantation,0.43,0.93,2.33,0.37,2.77,,6.82,,1.19,,,,0.47,0.73,,16.03
Forest,Scrub Forest,606.35,41.20,1147.20,1643.93,444.86,0.00,410.11,433.03,948.28,15616.21,65.49,227.25,465.82,541.51,621.76,23212.99
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,107.34,7.09,120.08,61.66,0.16,39.54,4.16,61.62,237.78,3827.37,0.41,59.86,15.82,42.38,37.00,4622.26
Snow and Glacier,Snow and Glacier,582.50,0.52,589.49,2699.36,,2168.18,0.44,43.39,5885.45,43651.83,11.38,240.18,76.07,843.06,81.36,56873.20
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,0.00,26.98,146.67,0.00,39.02,0.00,0.00,0.12,186.04,265.40,4.80,0.00,0.00,0.00,0.00,669.03
Wet lands / Water bodies,River/Stream/Canals,58.70,19.31,43.69,46.94,178.56,38.86,179.17,18.91,317.68,961.72,34.83,19.22,49.62,22.07,108.09,2097.37
Wet lands / Water bodies,Water bodies,3.71,8.35,32.69,0.92,1.04,0.16,37.72,1.70,359.35,759.51,0.06,0.94,2.64,1.51,0.76,1211.04
