L 1,L 2,Anantnag,Bagdam,Baramula,Doda,Jammu,Kargil,Kathua,Kupwara,Ladakh (Leh),POK,Poonch,Pulwama,Rajauri,Srinagar,Udhampur,Grand Total
Agriculture,Crop land,579.90,549.48,443.72,759.94,1463.44,32.07,860.56,310.68,152.41,2720.28,428.39,529.88,705.90,188.62,1527.47,11252.74
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,
Agriculture,Fallow,4.31,1.19,5.27,15.39,17.45,,3.92,0.12,0.59,,0.20,0.98,,0.54,2.83,52.81
Agriculture,Plantation,393.68,92.71,359.36,112.21,68.72,7.46,70.38,66.49,3.72,447.36,5.38,277.06,53.06,135.71,57.26,2150.53
Barren/unculturable/ Wastelands,Barren Rocky,555.54,15.16,484.89,2057.90,5.94,8528.74,124.47,78.01,27247.23,35825.37,132.45,71.71,24.44,305.18,228.03,75685.07
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,3.38,16.67,,,5.11,,47.50,,2906.19,341.10,,20.10,141.11,,1.10,3482.26
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,102.67,78.35,,,,,,181.02
Barren/unculturable/ Wastelands,Sandy Area,0.52,,0.09,0.53,40.73,69.26,15.21,0.52,4771.69,3392.63,5.97,,4.34,4.62,8.03,8314.14
Barren/unculturable/ Wastelands,Scrub Land,128.43,35.15,219.64,702.87,95.72,230.45,288.69,90.75,463.32,1447.84,193.31,10.44,365.76,59.22,370.28,4701.87
Builtup,Mining,0.35,5.36,0.08,,2.77,,0.70,0.21,,,,1.64,,0.95,,12.07
Builtup,Rural,47.79,30.21,59.99,7.57,62.91,2.14,22.38,13.14,0.41,,4.48,37.26,10.09,32.24,6.15,336.75
Builtup,Urban,6.13,63.54,35.23,8.19,120.56,1.34,19.32,2.80,6.77,,13.00,17.50,6.39,61.68,15.63,378.09
Forest,Deciduous,0.45,3.76,0.01,0.12,233.56,,30.10,31.56,3.91,0.00,1.43,0.71,68.12,1.83,204.22,579.78
Forest,Evergreen/Semi evergreen,996.63,153.82,987.31,3702.84,246.40,,651.45,1003.40,,0.00,609.11,192.86,786.18,426.83,1500.35,11257.19
Forest,Forest Plantation,,,,0.42,2.92,,,6.21,,12425.44,0.00,,0.00,3.56,,12438.55
Forest,Scrub Forest,569.05,246.08,1444.17,2297.72,504.57,0.09,305.43,553.57,1.84,1479.04,184.36,172.47,387.17,724.63,407.42,9277.61
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,0.42,0.42
Grass / Grazing,Grass / Grazing,125.36,45.05,91.60,18.23,0.03,,4.54,32.45,,,27.56,14.21,11.33,40.67,65.79,476.80
Snow and Glacier,Snow and Glacier,487.03,68.95,300.40,1954.28,,5082.72,14.20,168.71,8736.42,56305.18,47.15,17.61,15.38,128.30,20.66,73347.00
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,3.48,25.02,93.30,,40.61,,0.51,0.13,3.73,2.54,,3.17,,67.70,,240.19
Wet lands / Water bodies,River/Stream/Canals,60.46,17.58,37.96,48.22,185.21,77.68,141.83,19.55,205.31,622.50,20.81,30.03,50.74,24.41,133.74,1676.03
Wet lands / Water bodies,Water bodies,21.53,1.26,24.99,5.14,0.34,4.05,49.79,0.68,503.80,5761.38,0.41,0.36,,21.32,0.62,6395.67
