L 1,L 2,Amritsar,Bathinda,Faridkot,Fatehgarh Sahib,Firozpur,Gurdaspur,Hoshiarpur,Jalandhar,Kapurthala,Ludhiana,Mansa,Moga,Muktsar,Nawan Shehar,Patiala,Rupnagar,Sangrur,Grand Total
Agriculture,Crop land,4527.31,2967.66,1323.50,1071.56,5204.69,2896.38,2329.49,2328.61,1440.36,3100.66,1961.31,1537.39,2350.22,1009.78,3119.16,1295.97,4614.43,43078.47
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,6.16,5.51,0.93,0.85,7.05,3.94,13.36,3.52,2.89,15.72,5.27,3.16,3.02,3.88,6.64,9.52,1.39,92.80
Agriculture,Plantation,22.14,12.44,5.06,3.83,171.97,28.25,62.95,9.28,3.60,30.84,3.76,1.37,29.45,32.48,15.52,32.62,4.90,470.45
Barren/unculturable/ Wastelands,Barren Rocky,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,4.12,,,,,8.82,5.65,,0.08,,,,,0.28,2.75,0.92,,22.62
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,0.16,0.48,0.15,,7.50,0.09,0.02,,0.21,,,,7.80,,2.51,0.70,,19.64
Barren/unculturable/ Wastelands,Sandy Area,4.88,25.44,0.95,,34.89,2.61,6.73,0.69,0.03,1.42,8.44,0.30,17.68,1.37,0.37,4.11,1.89,111.81
Barren/unculturable/ Wastelands,Scrub Land,8.98,3.82,0.67,0.38,6.94,14.59,44.31,0.20,3.33,5.67,2.07,0.41,2.09,6.82,20.99,62.96,3.43,187.68
Builtup,Mining,12.41,9.86,4.07,2.83,11.70,13.32,8.68,4.51,2.33,19.17,7.25,7.53,4.84,1.74,13.33,8.30,12.03,143.90
Builtup,Rural,175.00,144.88,48.61,40.56,162.03,110.32,113.89,89.26,42.33,171.88,82.84,67.56,90.65,53.77,122.19,81.52,191.69,1788.98
Builtup,Urban,210.89,182.23,51.90,43.35,128.61,119.02,56.79,182.26,66.24,330.19,53.02,36.07,48.75,26.73,207.39,148.20,133.47,2025.11
Forest,Deciduous,21.39,19.51,4.76,3.44,15.57,199.99,568.53,5.50,6.83,23.92,8.06,2.73,9.09,88.54,70.58,369.91,12.43,1430.79
Forest,Evergreen/Semi evergreen,,,,,,13.69,,,,,,,,,,0.04,,13.73
Forest,Forest Plantation,0.81,,,,,0.05,12.83,0.01,0.35,0.69,,,,0.12,0.09,3.21,,18.17
Forest,Scrub Forest,1.82,,15.68,,,8.37,16.09,,,,,,,11.56,,23.01,,76.53
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,0.02,,,0.02
Grass / Grazing,Grass / Grazing,,,,,,0.02,,,,,,,,,,,,0.02
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,1.27,,1.22,0.37,2.11,16.27,2.83,0.11,3.48,0.96,0.49,0.01,11.09,,0.50,0.36,,41.08
Wet lands / Water bodies,River/Stream/Canals,86.18,23.81,12.70,8.51,83.00,110.85,63.55,17.67,41.73,56.10,11.73,13.34,28.13,20.37,41.74,71.23,34.56,725.19
Wet lands / Water bodies,Water bodies,4.47,5.37,1.81,1.32,16.93,23.42,4.30,1.38,19.20,4.78,5.75,2.14,5.18,0.55,3.23,4.42,10.78,115.02
