L 1,L 2,Mon,Dimapur,Kohima,Mokokchung,Phek,Tuensang,Wokha,Zunheboto,Grand Total
Agriculture,Crop land,27.45,437.11,30.99,56.23,107.30,44.66,28.51,11.56,743.82
Agriculture,Current Shifting cultivation,174.98,2.36,10.68,71.34,40.42,458.08,52.21,59.37,869.44
Agriculture,Fallow,4.98,19.72,4.92,2.03,2.83,0.92,1.18,2.19,38.77
Agriculture,Plantation,7.77,4.28,0.05,,,,,,12.11
Barren/unculturable/ Wastelands,Barren Rocky,,0.21,0.42,,1.71,1.71,,,4.04
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,,,,,,,,,
Barren/unculturable/ Wastelands,Scrub Land,463.58,201.16,130.66,752.46,415.77,718.41,217.39,246.92,3146.36
Builtup,Mining,5.30,4.81,0.14,1.68,,5.52,,,17.46
Builtup,Rural,26.53,57.13,14.19,74.38,29.91,41.02,15.74,22.60,281.50
Builtup,Urban,2.93,96.88,5.61,18.65,0.58,7.34,7.13,3.43,142.55
Forest,Deciduous,777.77,686.22,613.93,1907.77,1272.97,2340.77,1226.53,754.12,9580.10
Forest,Evergreen/Semi evergreen,15.79,,72.71,0.41,83.01,,2.87,,174.79
Forest,Forest Plantation,0.02,214.14,3.24,6.02,2.29,,4.87,,230.57
Forest,Scrub Forest,97.55,10.57,47.78,178.48,36.22,568.15,41.36,140.03,1120.14
Forest,Swamp / Mangroves,,,,,,,,,
Grass / Grazing,Grass / Grazing,,,5.94,,,,,,5.94
Snow and Glacier,Snow and Glacier,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,
Wet lands / Water bodies,River/Stream/Canals,10.33,44.78,8.71,21.49,32.90,41.39,13.12,14.74,187.46
Wet lands / Water bodies,Water bodies,,6.64,0.02,0.04,0.10,0.03,17.10,0.02,23.95
