L 1,L 2,Bishnupur,Chandel,Churachandpur,East Imphal,Senapati,Tamenglong,Thoubal,Ukhrul,West-Imphal,Grand Total
Agriculture,Crop land,173.98,210.92,214.44,277.69,335.82,128.54,200.32,137.46,243.37,1922.55
Agriculture,Current Shifting cultivation,0.02,154.89,180.92,0.40,71.48,118.01,1.74,110.81,0.56,638.82
Agriculture,Fallow,5.71,0.26,,,0.80,,2.64,,,9.41
Agriculture,Plantation,,3.16,1.15,10.05,2.94,1.87,2.90,0.08,,22.15
Barren/unculturable/ Wastelands,Barren Rocky,,,0.15,,,1.49,,0.15,,1.80
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,1.29,,0.06,0.10,,,,1.44
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,0.22,,,,0.22
Barren/unculturable/ Wastelands,Sandy Area,,,,,,,,,,
Barren/unculturable/ Wastelands,Scrub Land,1.25,366.96,1104.70,19.14,595.09,668.64,50.28,816.85,5.20,3628.12
Builtup,Mining,,,,,,0.03,,,,0.03
Builtup,Rural,50.49,25.04,30.94,57.16,50.53,44.51,67.65,31.38,81.95,439.67
Builtup,Urban,3.65,6.77,9.50,34.74,1.11,4.96,2.79,3.10,39.24,105.86
Forest,Deciduous,22.77,1951.53,1996.43,97.19,785.54,2228.20,23.43,3098.05,10.52,10213.66
Forest,Evergreen/Semi evergreen,8.47,169.41,406.12,103.39,903.74,824.40,6.25,156.26,21.67,2599.71
Forest,Forest Plantation,0.36,,,0.18,0.35,,0.74,,,1.63
Forest,Scrub Forest,9.65,401.43,591.74,90.78,506.10,336.48,42.04,168.28,25.74,2172.26
Forest,Swamp / Mangroves,,,,,,,,,,
Grass / Grazing,Grass / Grazing,,,,,2.57,,,0.16,0.03,2.76
Snow and Glacier,Snow and Glacier,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,13.91,,,9.55,,,66.48,,28.53,118.47
Wet lands / Water bodies,River/Stream/Canals,4.03,22.63,25.43,8.37,12.91,32.81,3.53,21.14,2.24,133.10
Wet lands / Water bodies,Water bodies,201.70,,7.23,0.35,1.95,0.74,43.22,0.28,59.94,315.41
