L 1,L 2,East-Sikkim,North-Sikkim,South-Sikkim,West-Sikkim,Grand Total
Agriculture,Crop land,153.64,44.16,205.38,183.67,586.85
Agriculture,Current Shifting cultivation,,,,,
Agriculture,Fallow,,0.44,,0.13,0.57
Agriculture,Plantation,,,2.70,1.72,4.42
Barren/unculturable/ Wastelands,Barren Rocky,18.44,944.02,6.62,139.97,1109.05
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,
Barren/unculturable/ Wastelands,Sandy Area,0.04,2.15,1.35,0.07,3.62
Barren/unculturable/ Wastelands,Scrub Land,2.77,10.31,6.73,3.27,23.08
Builtup,Mining,,,0.02,0.07,0.09
Builtup,Rural,2.19,1.30,1.70,0.60,5.80
Builtup,Urban,12.61,0.73,4.06,1.01,18.42
Forest,Deciduous,33.88,10.75,69.15,70.58,184.35
Forest,Evergreen/Semi evergreen,548.16,1093.78,375.24,510.66,2527.85
Forest,Forest Plantation,0.94,,1.59,1.31,3.84
Forest,Scrub Forest,11.66,32.96,11.89,18.68,75.19
Forest,Swamp / Mangroves,,,,,
Grass / Grazing,Grass / Grazing,52.80,426.99,21.93,51.62,553.34
Snow and Glacier,Snow and Glacier,108.71,1619.99,28.27,173.15,1930.12
Wet lands / Water bodies,Inland Wetland,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,
Wet lands / Water bodies,River/Stream/Canals,6.26,18.94,13.37,8.39,46.95
Wet lands / Water bodies,Water bodies,1.90,19.47,,1.10,22.47
