L 1,L 2,Anuppur,Ashoknagar,Balaghat,Barwani,Betul,Bhind,Bhopal,Burhanpur,Chhatarpur,Chhindwara,Damoh,Datia,Dewas,Dhar,Dindori,East Nimar,Guna,Gwalior,Harda,Hoshangabad,Indore,Jabalpur,Jhabua,Katni,Mandla,Mandsaur,Morena,Narsinghpur,Neemuch,Panna,Raisen,Rajgarh,Ratlam,Rewa,Sagar,Satna,Sehore,Seoni,Shahdol,Shajapur,Sheopur,Shivpuri,Sidhi,Tikamgarh,Ujjain,Umaria,Vidisha,West Nimar,Grand Total
Agriculture,Crop land,1143.11,3485.61,3582.37,2328.30,5421.29,3728.74,1787.40,1503.27,5677.21,6598.35,3610.15,1676.58,4472.42,6128.16,2077.18,3903.96,4049.41,2838.28,2085.56,3643.34,2653.62,2616.21,4245.85,3640.10,4085.44,3904.57,3103.92,3485.17,2041.85,3350.94,4802.86,4960.64,3845.12,4483.39,6089.44,4533.80,4672.61,5086.08,3730.84,5027.95,2184.01,5326.37,4565.07,3719.53,5358.72,1487.32,5965.59,4855.54,183563.24
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,188.19,1.93,14.28,606.41,302.75,5.21,2.35,64.48,91.72,21.52,137.40,4.32,38.28,28.73,83.80,51.92,20.44,9.70,64.98,34.18,2.05,6.04,492.12,81.96,172.77,23.53,0.45,27.33,56.70,32.79,9.36,59.12,5.28,152.80,91.79,33.26,2.26,22.33,659.73,12.24,23.94,9.76,286.08,5.31,0.16,115.74,3.10,12.89,4173.49
Agriculture,Plantation,8.47,1.77,1.02,0.10,1.02,,0.03,8.38,2.06,112.40,0.77,0.12,0.11,5.86,0.46,3.51,1.89,1.66,,1.22,1.77,0.99,0.65,3.05,0.98,73.85,,1.05,8.32,2.73,0.48,34.15,3.04,3.18,1.12,1.49,,1.82,9.72,90.45,0.44,0.07,5.42,0.87,0.61,2.54,1.04,1.20,401.87
Barren/unculturable/ Wastelands,Barren Rocky,1.22,,0.43,2.35,,,,,4.57,1.04,10.04,0.18,1.83,19.68,,10.87,,,,0.79,9.60,1.64,16.61,2.26,5.86,51.49,3.00,1.12,10.43,,9.33,7.69,6.67,96.57,4.62,9.84,0.39,1.45,29.75,5.57,,5.91,7.21,,0.50,0.05,4.17,35.28,380.01
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,2.25,,,42.68,1.38,414.03,0.39,2.63,35.37,,5.99,16.84,4.78,37.56,6.57,0.82,2.19,36.84,1.18,3.45,1.02,29.93,,2.67,2.98,10.19,532.60,42.96,2.46,5.32,0.92,7.53,21.10,11.61,3.14,9.94,0.93,0.27,2.08,3.12,113.19,4.47,17.40,2.65,11.97,6.43,1.25,28.23,1491.30
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Scrub Land,182.14,262.92,484.97,431.34,373.13,72.49,202.64,94.39,814.52,367.40,880.82,72.38,218.24,598.29,271.84,340.67,450.35,452.29,111.75,183.77,219.58,455.83,346.59,1146.19,696.25,435.89,279.68,97.06,416.89,729.80,351.58,581.36,413.70,433.27,1306.96,590.80,194.43,204.02,889.68,711.92,460.53,1255.80,1368.22,441.24,392.87,556.44,348.96,791.08,22982.96
