L 1,L 2,Dhalai,Gomati,Khowai,North Tripura,Sepahijala,South Tripura,Unakoti,West Tripura,Grand Total
Agriculture,Crop land,164.71,214.04,186.95,121.93,198.44,227.56,109.14,174.14,1396.91
Agriculture,Current Shifting cultivation,15.11,3.39,3.14,6.49,0.07,1.96,0.07,0.43,30.66
Agriculture,Fallow,0.13,3.66,1.38,0.96,5.08,13.90,1.12,2.68,28.89
Agriculture,Plantation,47.29,94.62,35.15,31.03,203.64,206.99,34.67,119.30,772.69
Barren/unculturable/ Wastelands,Barren Rocky,,,,,,,,,
Barren/unculturable/ Wastelands,Gullied / Ravinous,0.34,0.14,,,,,,,0.47
Barren/unculturable/ Wastelands,Rann,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,1.02,0.03,0.66,0.03,0.38,0.18,1.10,0.08,3.49
Barren/unculturable/ Wastelands,Scrub Land,20.57,19.33,35.67,22.97,51.63,45.68,12.65,94.05,302.55
Builtup,Mining,0.26,0.28,0.28,1.11,1.54,0.75,0.68,0.86,5.78
Builtup,Rural,75.60,56.96,56.94,96.66,92.43,48.74,74.50,62.35,564.18
Builtup,Urban,12.26,39.37,37.51,23.79,29.71,24.27,19.15,134.91,320.96
Forest,Deciduous,447.58,453.44,169.24,339.46,352.30,449.72,140.77,215.29,2567.81
Forest,Evergreen / Semi Evergreen,1204.78,515.79,451.72,638.47,38.30,433.51,230.80,142.00,3655.37
Forest,Forest Plantation,88.21,131.10,3.53,4.95,35.92,16.13,3.16,8.91,291.92
Forest,Scrub Forest,186.51,59.35,24.55,61.78,26.17,34.75,22.78,16.60,432.48
Forest,Swamp / Mangrove,,,,,,,,,
Grass / Grazing,Grass / Grazing land,,,,,,,,,
Snow and Glacier,Snow,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,0.05,3.02,0.08,,1.06,0.12,0.30,0.14,4.76
Wet lands / Water bodies,River / Stream / Canals,10.82,9.93,5.99,6.92,3.53,5.35,4.72,2.32,49.60
Wet lands / Water bodies,Waterbodies,38.75,11.55,0.22,0.45,2.79,1.39,0.37,1.96,57.48
