L 1,L 2,ANDAMAN,NICOBAR,DELHI,CHANDIGARH,DIU,DAMAN,LAKSHADWEEP,YANAM,PUDUCHERRY,MAHE,KARAIKAL,DADRA&NAGER,Grand Total
Agriculture,Crop land,337.00,3.46,452.58,12.85,18.77,18.18,,3.27,149.53,8.41,73.80,112.51,1190.37
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,
Agriculture,Fallow,,,76.68,1.08,0.30,10.80,0.02,0.28,28.37,,37.79,89.93,245.25
Agriculture,Plantation,27.18,51.17,15.93,1.02,0.21,9.23,17.08,7.36,10.43,,3.72,15.31,158.64
Barren/unculturable/ Wastelands,Barren Rocky,,,0.10,,,,,,,,,,0.10
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,6.05,0.07,,0.42,,,0.04,,,,6.58
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,0.15,,0.85,,,,0.10,,,,1.10
Barren/unculturable/ Wastelands,Sandy Area,0.07,7.58,,,,,0.62,,2.43,,,,10.70
Barren/unculturable/ Wastelands,Scrub Land,1.29,,62.18,1.35,0.04,7.68,,0.30,3.73,0.05,4.16,42.35,123.13
Builtup,Mining,,,0.67,,,1.06,,,0.08,,,1.03,2.85
Builtup,Rural,1.70,,50.70,2.90,0.62,0.11,0.03,0.29,19.41,,15.05,1.74,92.55
Builtup,Urban,51.93,11.00,754.19,83.84,2.87,18.39,5.33,4.69,49.76,0.54,18.69,30.86,1032.10
Forest,Deciduous,1399.53,76.21,10.58,8.59,,1.13,8.90,,0.17,,,118.51,1623.62
Forest,Evergreen/Semi evergreen,4058.22,1326.47,,,,,,,,,,6.85,5391.54
Forest,Forest Plantation,,,0.38,,,,,,0.03,,,,0.42
Forest,Scrub Forest,61.84,205.72,12.05,,,,,,,,,51.03,330.64
Forest,Swamp / Mangroves,399.86,73.15,,,,0.93,,1.70,,,,,475.64
Grass / Grazing,Grass / Grazing,,,5.71,,,,,,,,,,5.71
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,32.85,64.47,,,7.65,0.01,,1.99,4.26,,1.20,,112.43
Wet lands / Water bodies,Inland Wetland,14.41,1.94,4.10,0.02,7.62,,,0.04,0.86,,,,28.99
Wet lands / Water bodies,River/Stream/Canals,17.34,17.00,27.15,0.75,1.07,3.52,,6.23,7.25,,2.74,8.05,91.09
Wet lands / Water bodies,Water bodies,4.78,2.84,3.79,1.52,0.01,0.56,0.02,3.79,16.55,,2.85,12.82,49.52
