L 1,L 2,Allaphuzha,Ernakulam,Idukki,Kannur,Kasaragod,Kollam,Kottayam,Kozhikode,Malappuram,Palakkad,Pattanamtitta,Thiruvananthapuram,Thrissur,Wayanad,Grand Total
Agriculture,Crop land,310.09,176.46,41.90,70.02,61.44,112.99,211.66,103.37,244.88,749.72,109.51,43.34,314.04,208.38,2757.79
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,
Agriculture,Fallow,0.75,5.96,11.79,21.56,5.35,3.63,1.78,13.72,0.00,2.09,0.61,0.65,2.77,0.85,71.52
Agriculture,Plantation,664.26,1312.04,1559.57,1899.12,1298.86,1178.86,1525.80,1377.08,1974.06,1739.90,933.86,1419.28,1282.87,847.95,19013.53
Barren/unculturable/ Wastelands,Barren Rocky,0.03,5.33,147.14,0.79,2.34,4.54,4.32,4.09,16.34,89.32,9.67,8.53,1.66,3.23,297.34
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,1.48,,,1.69,4.69,1.74,0.53,0.07,0.67,,,5.59,,,16.45
Barren/unculturable/ Wastelands,Scrub Land,,14.79,205.87,122.73,258.07,12.84,39.51,26.00,58.56,119.80,66.35,6.84,17.18,18.29,966.83
Builtup,Mining,0.04,10.57,1.22,22.95,3.74,2.75,4.91,4.85,23.90,10.52,4.14,5.10,13.99,1.83,110.52
Builtup,Rural,101.20,261.35,151.24,283.41,81.87,164.16,255.19,298.92,270.98,156.71,187.24,114.13,250.99,102.56,2679.94
Builtup,Urban,26.35,181.14,9.29,45.15,27.54,97.16,29.25,12.01,23.31,50.67,24.00,94.87,112.04,2.92,735.71
Forest,Deciduous,,28.08,149.15,25.17,94.52,52.04,0.24,295.19,61.82,239.59,195.55,0.80,326.11,83.94,1552.19
Forest,Evergreen/Semi evergreen,,84.64,1857.01,291.91,71.66,176.52,38.55,103.84,518.59,855.88,967.11,301.97,424.72,600.49,6292.88
Forest,Forest Plantation,,103.28,565.01,98.47,6.20,568.94,0.19,9.57,188.04,89.05,79.36,17.28,141.57,204.07,2071.03
Forest,Scrub Forest,,25.58,90.81,5.55,0.99,71.38,5.03,20.31,69.98,161.56,10.64,130.12,27.38,23.83,643.16
Forest,Swamp / Mangroves,,0.24,,,,,,,0.03,,,,,,0.27
Grass / Grazing,Grass / Grazing,,,79.70,9.99,,,0.68,0.47,2.50,3.90,11.79,0.31,2.24,9.14,120.71
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,8.24,77.87,,2.27,,0.07,,3.28,2.92,,,,10.05,,104.70
Wet lands / Water bodies,Inland Wetland,102.91,11.19,,12.12,,9.95,12.37,13.96,22.01,3.96,5.45,0.03,28.40,0.09,222.44
Wet lands / Water bodies,River/Stream/Canals,38.30,55.67,35.37,78.57,43.42,21.99,29.02,45.12,69.26,60.25,22.36,21.42,44.24,10.69,575.69
Wet lands / Water bodies,Water bodies,160.33,53.82,113.94,5.53,0.33,103.43,44.97,13.15,0.14,59.10,14.36,15.75,31.75,13.74,630.32
