L 1,L 2,Barpeta,Bongaigaon,Cachar,Darrang,Dhemaji,Dhuburi,Dibrugarh,Goalpara,Golaghat,Hailakandi,Jorhat,Kamrup,Karbi Anglong,Karimganj,Kokrajhar,Lakhimpur,Marigaon,Nagaon,Nalbari,North Cachar Hills,Sibsagar,Sonitpur,Tinsukia,Grand Total
Agriculture,Crop land,1582.45,847.02,841.89,1671.60,1507.69,1097.80,997.70,651.68,1358.54,340.97,1014.24,1388.52,877.49,469.16,1142.42,1139.85,940.86,1675.34,1212.74,120.49,966.86,1937.61,812.64,24595.57
Agriculture,Current Shifting cultivation,,,9.87,,,,,,,14.94,1.02,5.85,36.65,2.33,,,,0.04,,17.31,,,0.12,88.13
Agriculture,Fallow,6.90,19.37,20.49,77.33,99.83,15.85,8.52,7.14,6.67,,11.87,111.91,0.55,25.48,4.25,23.40,5.17,8.20,29.96,0.19,0.16,9.01,11.34,503.60
Agriculture,Plantation,3.91,8.20,373.07,196.27,7.73,37.43,456.36,22.85,331.34,91.84,308.95,10.43,87.03,143.91,26.30,48.96,7.77,125.75,17.82,7.52,409.17,459.48,643.91,3825.97
Barren/unculturable/ Wastelands,Barren Rocky,,,,,,,,,,0.03,,,,,,,,,,0.25,,,,0.28
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,13.98,7.21,,3.59,26.46,1.25,0.69,0.32,1.54,,,2.93,0.74,,3.10,6.87,6.19,0.53,0.04,0.33,,2.23,0.33,78.32
Barren/unculturable/ Wastelands,Scrub Land,5.26,10.09,25.93,5.08,10.18,8.20,2.96,77.50,5.56,4.43,1.04,104.12,1771.34,5.30,9.44,2.62,1.73,24.97,5.37,1200.53,5.95,5.23,23.24,3316.08
Builtup,Mining,2.22,1.38,1.41,3.48,0.20,3.71,4.48,0.02,1.78,0.45,4.16,14.05,3.64,8.01,0.91,0.03,5.65,9.78,2.28,0.50,2.04,8.76,5.57,84.52
Builtup,Rural,27.65,24.16,22.37,43.54,21.21,81.68,29.98,24.84,38.02,11.02,10.98,54.11,40.17,17.34,20.50,13.16,1.49,20.59,3.57,45.55,12.18,57.50,30.79,652.40
Builtup,Urban,5.53,28.23,25.66,10.55,11.94,11.50,55.60,6.21,41.51,7.57,36.69,145.72,48.20,13.12,20.82,7.63,12.88,60.27,12.33,30.99,24.29,51.95,52.61,721.80
Forest,Deciduous,692.85,951.12,1309.42,807.53,560.58,842.68,701.02,709.38,883.24,419.12,533.10,1850.86,6580.19,628.09,1376.63,553.90,402.95,1540.26,667.33,2976.59,834.06,1100.33,931.93,27853.15
Forest,Evergreen/Semi evergreen,0.35,104.34,951.48,44.42,173.10,10.68,182.42,,55.82,373.32,212.86,62.46,559.75,408.39,137.68,106.35,0.36,0.06,7.79,214.75,161.84,383.91,654.37,4806.49
Forest,Forest Plantation,,3.47,0.17,10.67,,11.12,,4.10,5.93,,2.15,10.59,6.49,3.87,0.26,,0.37,13.81,1.00,11.96,0.10,0.34,0.05,86.47
Forest,Scrub Forest,19.48,6.89,18.45,2.84,1.98,13.91,15.70,15.07,11.85,23.22,10.76,56.61,331.39,12.58,32.28,6.45,2.35,8.25,10.15,169.14,6.28,41.63,26.98,844.23
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,215.79,183.85,3.58,118.68,299.92,131.29,230.40,52.68,287.09,0.35,205.89,67.55,5.08,0.23,101.71,93.90,24.92,121.14,68.10,0.42,125.70,370.70,243.94,2952.90
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,56.84,30.66,91.84,28.14,79.47,55.46,21.73,21.35,81.02,17.63,90.89,170.98,3.50,52.07,20.24,49.44,65.21,127.44,36.93,0.31,28.78,53.98,33.56,1217.48
Wet lands / Water bodies,River/Stream/Canals,611.59,282.91,84.41,453.86,435.83,515.00,671.28,229.61,389.77,22.03,406.05,278.97,78.41,17.49,229.88,222.31,220.72,93.76,179.85,64.23,86.95,839.15,314.94,6728.99
Wet lands / Water bodies,Water bodies,0.20,1.10,5.96,3.42,0.89,0.44,2.15,1.24,2.31,0.09,0.36,9.34,3.39,1.65,2.56,2.13,5.38,0.82,1.73,26.95,3.63,2.21,3.68,81.63
