L 1,L 2,Dhalai,Gomati,Khowai,North,Sepahijala,South,Unakoti,West,Grand Total
Agriculture,Crop land,171.00,216.34,188.67,123.14,199.84,230.70,109.91,175.43,1415.03
Agriculture,Current Shifting cultivation,8.71,1.35,0.59,1.77,,1.69,2.16,0.17,16.45
Agriculture,Fallow,0.24,3.77,1.46,1.51,5.66,16.31,1.17,3.40,33.51
Agriculture,Plantation,54.93,101.12,35.63,32.59,207.13,222.01,36.67,123.01,813.10
Barren/unculturable/ Wastelands,Barren Rocky,,,,,,,,,
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,0.10,0.14,,,,,,,0.24
Barren/unculturable/ Wastelands,Rann,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,0.48,0.10,0.23,,0.08,,0.62,0.13,1.64
Barren/unculturable/ Wastelands,Scrub Land,39.61,13.66,22.64,33.85,43.52,28.49,12.88,59.98,254.64
Builtup,Mining,0.26,0.31,0.19,1.16,1.47,1.02,0.68,1.09,6.19
Builtup,Rural,75.00,56.84,56.79,96.27,90.72,48.68,74.49,62.35,561.13
Builtup,Urban,12.26,39.31,37.95,23.75,29.58,24.12,19.15,135.31,321.42
Forest,Deciduous,413.42,415.06,158.87,277.62,329.21,416.29,125.87,240.93,2377.26
Forest,Evergreen/Semi evergreen,1270.10,529.29,459.24,675.29,38.43,437.31,242.40,141.32,3793.37
Forest,Forest Plantation,90.44,134.92,3.60,4.77,36.20,17.92,3.74,8.94,300.52
Forest,Scrub Forest,126.51,79.28,40.45,77.90,53.78,59.58,20.75,19.57,477.81
Forest,Swamp / Mangroves,,,,,,,,,
Grass / Grazing,Grass / Grazing,,,,,,,,,
Snow and Glacier,Snow and Glacier,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,0.98,3.02,0.08,,1.06,0.12,0.30,0.14,5.70
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,
Wet lands / Water bodies,River/Stream/Canals,11.20,9.95,6.39,6.95,3.55,5.37,4.82,2.32,50.55
Wet lands / Water bodies,Water bodies,38.75,11.55,0.22,0.45,2.81,1.39,0.37,1.91,57.45
